source_domain,source_url,current_page_type,current_positioning,target_action,target_url,content_to_preserve,content_to_remove,content_to_rewrite,seo_notes,navigation_status,language,implementation_status
.com,/therapy-for-executives/,App-shell specialty,Therapy for executives,301,/1-to-1/,IBM/credibility line (verify before reuse),Executive ICP,n/a,301 to /1-to-1/; remove from sitemap,Removed,en,DONE
.com,/imposter-syndrome-therapy/,App-shell specialty,Imposter syndrome therapy,SEO-ONLY→evaluate; interim 301,/1-to-1/,FAQ content (could seed a blog post),Primary-service framing,"If retained later, reframe as editorial/resource; interim 301",Interim 301 to /1-to-1/; out of nav; re-add to sitemap only if kept as resource,Removed,en,DONE
.com,/executive-burnout-therapy/,App-shell specialty,Executive burnout therapy,SEO-ONLY→evaluate; interim 301,/1-to-1/,Burnout FAQ,Executive-burnout service framing,Reframe as editorial later if kept,Interim 301 to /1-to-1/; out of nav,Removed,en,DONE
.com,/career-transition-therapy/,App-shell specialty,Career transition therapy,SEO-ONLY→evaluate; interim 301,/1-to-1/,Career-change FAQ,Career-coaching service framing,Reframe later if kept,Interim 301 to /1-to-1/; out of nav,Removed,en,DONE
.com,/greek-speaking-therapist-london/,App-shell location SEO,Greek-speaking therapist (London),SEO-ONLY (retain; evaluate),/greek-speaking-therapist-london/,Unique location copy + FAQ,Nothing yet (conservative),Light reframe: advisor+therapist wording; keep only if service truthful,Keep indexable; OUT of primary nav; keep in sitemap; needs GSC/backlink data to finalise,Out of nav,en,PENDING-REVIEW
.com,/greek-speaking-therapist-manchester/,App-shell location SEO,Greek-speaking therapist (Manchester),SEO-ONLY (retain; evaluate),same,Unique location copy + FAQ,,Same as London,Same,Out of nav,en,PENDING-REVIEW
.com,/greek-speaking-therapist-new-york/,App-shell location SEO,Greek-speaking therapist (New York),SEO-ONLY (retain; evaluate),same,Unique location copy + FAQ,,Same,Same,Out of nav,en,PENDING-REVIEW
.com,/greek-speaking-therapist-dublin/,App-shell location SEO,Greek-speaking therapist (Dublin),SEO-ONLY (retain; evaluate),same,Unique location copy + FAQ,,Same,Same,Out of nav,en,PENDING-REVIEW
.com,/burnout-diagnostic/,App-shell tool,Self-assessment quiz,KEEP (evaluate rename),/burnout-diagnostic/,Diagnostic tool,,Optional: reframe as a build/blocker diagnostic later,Keep indexable; secondary CTA only; keep in sitemap,Out of primary nav,en,KEEP-ASIS
.com,/ask-me-anything/,App-shell,One-off Q&A,KEEP or 301→/book/ (owner decision),/ask-me-anything/ or /book/,AMA concept if kept,,Owner to confirm if AMA continues,"If retired, 301 to /book/; else keep out of primary nav",Footer,en,PENDING-REVIEW
.com,/getinterviewed/,App-shell,Podcast/interview invite,KEEP,/getinterviewed/,Whole page,,None,Keep indexable; footer only,Footer,en,KEEP-ASIS
.com,/blog/,Inline React index,Essays on burnout/performance/ambition,REWRITE,/blog/,All posts; index layout,"""high performers""/""performance identity"" as organising category",Add language filter (All/EN/EL); reposition intro to build+psychology,Keep canonical; single blog for both languages,In nav (Writing),en,DONE
.com,/blog/<27 posts>,Static articles,Various (founder/performer psychology),KEEP,/blog/<slug>/,All article bodies verbatim,Nothing,Add lang:en to posts.json; ensure self-canonical + html lang,Self-canonical; no fake el alternate,Via blog,en,DONE
.com,/schedule*,Redirect stub,n/a,301 (existing),/,n/a,,,Already 301→/ in netlify.toml,n/a,en,KEEP-ASIS
.com,/faqs*,Redirect stub,n/a,301 (existing),/,n/a,,,Already 301→/ in netlify.toml,n/a,en,KEEP-ASIS
.gr,/,Static home,Σύμβουλος Ψυχικής Υγείας (exec/burnout/career),301,/el/,Natural Greek voice; two-track phrasing,Old Greek IA/positioning,Homepage rebuilt fresh in Greek under /el/,301 .gr/ → .com/el/; retire GH Pages,el,DONE (/el/ built)
.gr,/about/,Static,Greek about,301,/el/about/,Credentials wording (LOCKED); background copy,,Rebuilt fresh under /el/about/,301,el,DONE
.gr,/confidentiality/,Static,Greek confidentiality,301,/el/confidentiality/,Whole page (excellent Greek asset — reused near-verbatim),,Minor audience broadening,301,el,DONE
.gr,/how-i-work/,Static,Greek method,MERGE→301,/el/1-to-1/,Two-track + how-we-start Greek copy,Standalone role,Absorbed into /el/ + /el/1-to-1/,301 .gr/how-i-work/ → .com/el/1-to-1/,el,DONE
.gr,/executive-coaching/,Static service,Executive coaching,301,/el/1-to-1/,Isolation-of-seniority phrasing,Executive ICP,n/a,301 to /el/1-to-1/ (closest offer),el,DONE
.gr,/burnout/,Static service,Burnout,301,/el/,Burnout FAQ (could seed Greek blog post later),Service framing,n/a,"301 to /el/ (or a future Greek resource); conservative → /el/",el,DONE
.gr,/career-coaching/,Static service,Career coaching,301,/el/1-to-1/,Career-change Greek copy,Service framing,n/a,301 to /el/1-to-1/,el,DONE
.gr,/imposter-syndrome/,Static service,Imposter syndrome,301,/el/,Imposter FAQ (Greek) — seed future post,Service framing,n/a,301 to /el/,el,DONE
.gr,/burnout-diagnostic/,Static tool,Greek diagnostic,301,/el/ (interim),n/a (diagnostic not yet ported to /el/),,Port diagnostic to /el/ later; interim 301 to /el/,301 to /el/; revisit,el,PENDING-REVIEW
