old_url,current_domain,language,page_type,status,title,canonical,proposed_new_url,action,equivalent_language_url,redirect_target,risk,notes
https://aggelosmouzakitis.com/blog/shared-accountability-leading-without-authority/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),"Shared accountability, leading without authority, and other funny corporate myths | Aggelos Mouzakitis",https://aggelosmouzakitis.com/blog/shared-accountability-leading-without-authority/,https://aggelosmouzakitis.com/blog/shared-accountability-leading-without-authority/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/the-coaching-industrys-credibility-problem/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),The coaching industry's credibility problem (and why it should matter to you) | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/the-coaching-industrys-credibility-problem/,https://aggelosmouzakitis.com/blog/the-coaching-industrys-credibility-problem/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/the-elaborate-performance-of-trying-to-change/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),"The elaborate performance of ""trying to change"" | Aggelos Mouzakitis",https://aggelosmouzakitis.com/blog/the-elaborate-performance-of-trying-to-change/,https://aggelosmouzakitis.com/blog/the-elaborate-performance-of-trying-to-change/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/the-high-cost-of-endless-pondering/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),The high cost of endless pondering | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/the-high-cost-of-endless-pondering/,https://aggelosmouzakitis.com/blog/the-high-cost-of-endless-pondering/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/the-loneliness-and-emotional-pressure-that-founders-experience/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),The loneliness and emotional pressure that founders experience | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/the-loneliness-and-emotional-pressure-that-founders-experience/,https://aggelosmouzakitis.com/blog/the-loneliness-and-emotional-pressure-that-founders-experience/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/the-parent-archetypes-creating-high-performers-with-chronic-self-doubt/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),The parent archetypes creating high performers with chronic self-doubt | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/the-parent-archetypes-creating-high-performers-with-chronic-self-doubt/,https://aggelosmouzakitis.com/blog/the-parent-archetypes-creating-high-performers-with-chronic-self-doubt/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/the-turtle-and-the-shell/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),The turtle and the shell | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/the-turtle-and-the-shell/,https://aggelosmouzakitis.com/blog/the-turtle-and-the-shell/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/therapy-has-a-branding-problem/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),Therapy has a branding problem | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/therapy-has-a-branding-problem/,https://aggelosmouzakitis.com/blog/therapy-has-a-branding-problem/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/vacation-same-feeling/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),You took the vacation. You came back feeling the same way. | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/vacation-same-feeling/,https://aggelosmouzakitis.com/blog/vacation-same-feeling/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/we-ve-turned-adhd-diagnosis-into-a-trend/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),We've turned ADHD diagnosis into a trend | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/we-ve-turned-adhd-diagnosis-into-a-trend/,https://aggelosmouzakitis.com/blog/we-ve-turned-adhd-diagnosis-into-a-trend/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/what-doubt-is-actually-protecting-you-from/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),What doubt is actually protecting you from | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/what-doubt-is-actually-protecting-you-from/,https://aggelosmouzakitis.com/blog/what-doubt-is-actually-protecting-you-from/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/what-lost-purpose-actually-means-for-many-high-performers/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),What 'lost purpose' actually means for many high performers | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/what-lost-purpose-actually-means-for-many-high-performers/,https://aggelosmouzakitis.com/blog/what-lost-purpose-actually-means-for-many-high-performers/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/what-went-wrong-ep01-productivity/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),What Went Wrong — Ep. 01: Productivity | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/what-went-wrong-ep01-productivity/,https://aggelosmouzakitis.com/blog/what-went-wrong-ep01-productivity/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/what-went-wrong-ep02-happiness/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),What Went Wrong — Ep. 02: Happiness | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/what-went-wrong-ep02-happiness/,https://aggelosmouzakitis.com/blog/what-went-wrong-ep02-happiness/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/what-went-wrong-ep03-body-and-therapy/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),What Went Wrong — Ep. 03: Body & Therapy | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/what-went-wrong-ep03-body-and-therapy/,https://aggelosmouzakitis.com/blog/what-went-wrong-ep03-body-and-therapy/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/what-went-wrong-ep04-avoidance/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),What Went Wrong — Ep. 04: Avoidance | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/what-went-wrong-ep04-avoidance/,https://aggelosmouzakitis.com/blog/what-went-wrong-ep04-avoidance/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/when-founder-builds-a-company-around-his-life/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),When founder builds a company around his life - not the other way around | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/when-founder-builds-a-company-around-his-life/,https://aggelosmouzakitis.com/blog/when-founder-builds-a-company-around-his-life/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/when-the-drive-to-succeed-is-really-just-the-fear-of-falling-behind/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),When the drive to succeed is really just the fear of falling behind | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/when-the-drive-to-succeed-is-really-just-the-fear-of-falling-behind/,https://aggelosmouzakitis.com/blog/when-the-drive-to-succeed-is-really-just-the-fear-of-falling-behind/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/who-are-you-if-you-are-not-crushing-it/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),"Who are you if you are not ""crushing"" it? | Aggelos Mouzakitis",https://aggelosmouzakitis.com/blog/who-are-you-if-you-are-not-crushing-it/,https://aggelosmouzakitis.com/blog/who-are-you-if-you-are-not-crushing-it/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/why-do-high-performers-keep-winning-and-still-feel-stuck/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),Why do high performers keep winning and still feel stuck? | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/why-do-high-performers-keep-winning-and-still-feel-stuck/,https://aggelosmouzakitis.com/blog/why-do-high-performers-keep-winning-and-still-feel-stuck/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/why-hard-work-alone-doesnt-advance-you/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),Why hard work alone doesn't advance you | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/why-hard-work-alone-doesnt-advance-you/,https://aggelosmouzakitis.com/blog/why-hard-work-alone-doesnt-advance-you/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/you-re-creating-the-exact-problem-you-re-trying-to-avoid/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),You're creating the exact problem you're trying to avoid | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/you-re-creating-the-exact-problem-you-re-trying-to-avoid/,https://aggelosmouzakitis.com/blog/you-re-creating-the-exact-problem-you-re-trying-to-avoid/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/you-re-just-trading-one-type-of-friction-for-another/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),You're just trading one type of friction for another | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/you-re-just-trading-one-type-of-friction-for-another/,https://aggelosmouzakitis.com/blog/you-re-just-trading-one-type-of-friction-for-another/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/book/,aggelosmouzakitis.com,en,conversion,200 (assumed live),Book a Fit Call | Aggelos Mouzakitis,https://aggelosmouzakitis.com/book/,https://aggelosmouzakitis.com/book/,KEEP_COM,,,Low,"English booking/fit-call page. GR uses diagnostic+mailto CTA, no /book/ equivalent."
https://aggelosmouzakitis.com/burnout-diagnostic/,aggelosmouzakitis.com,en,tool-diagnostic,200 (assumed live),The High-Performance Fulfilment Diagnostic | Aggelos Mouzakitis,https://aggelosmouzakitis.com/burnout-diagnostic/,https://aggelosmouzakitis.com/burnout-diagnostic/,KEEP_COM,https://aggelosmouzakitis.com/el/burnout-diagnostic/,,Med,SAME SLUG as GR tool -> resolved by /el/ prefix. Genuine equivalent (same self-assessment). Client-rendered React app; thin static HTML.
https://aggelosmouzakitis.com/career-transition-therapy/,aggelosmouzakitis.com,en,service-page,200 (assumed live),Career Transition Therapy | Aggelos Mouzakitis,https://aggelosmouzakitis.com/career-transition-therapy/,https://aggelosmouzakitis.com/career-transition-therapy/,KEEP_COM,https://aggelosmouzakitis.com/el/career-coaching/,,Med,Partial equivalent of GR /career-coaching/ (career-change intent). Therapy(en) vs coaching(el) framing differs; confirm hreflang pairing.
https://aggelosmouzakitis.com/confidentiality/,aggelosmouzakitis.com,en,trust-legal,200 (assumed live),Confidentiality | Aggelos Mouzakitis,https://aggelosmouzakitis.com/confidentiality/,https://aggelosmouzakitis.com/confidentiality/,KEEP_COM,https://aggelosmouzakitis.com/el/confidentiality/,,Low,Genuine language equivalent. Same slug -> /el/ prefix resolves collision.
https://aggelosmouzakitis.com/executive-burnout-therapy/,aggelosmouzakitis.com,en,service-page,200 (assumed live),Executive Burnout Therapy for Tech Leaders | Aggelos Mouzakitis,https://aggelosmouzakitis.com/executive-burnout-therapy/,https://aggelosmouzakitis.com/executive-burnout-therapy/,KEEP_COM,https://aggelosmouzakitis.com/el/burnout/,,Med,Candidate equivalent of GR /burnout/ (burnout intent). GR page is informational/topic; en page is a service. Confirm hreflang pairing (MANUAL).
https://aggelosmouzakitis.com/faqs,aggelosmouzakitis.com,en,legacy-redirect,301,(retired),,https://aggelosmouzakitis.com/,KEEP_COM,,https://aggelosmouzakitis.com/,Low,Existing 301 in netlify.toml (/faqs -> /). Retired page. Keep redirect.
https://aggelosmouzakitis.com/founders/,aggelosmouzakitis.com,en,advisory,200 (assumed live),Founder Advisory for Business Problems That Trace Back to You | Aggelos Mouzakitis,https://aggelosmouzakitis.com/founders/,https://aggelosmouzakitis.com/founders/,KEEP_COM,,,Low,English founder-advisory offer. No Greek equivalent (offers differ by market); keep en-only.
https://aggelosmouzakitis.com/getinterviewed/,aggelosmouzakitis.com,en,engagement,200 (assumed live),Get Interviewed | Aggelos Mouzakitis,https://aggelosmouzakitis.com/getinterviewed/,https://aggelosmouzakitis.com/getinterviewed/,KEEP_COM,,,Low,English-only recruitment/engagement page. No Greek equivalent.
https://aggelosmouzakitis.com/greek-speaking-therapist-dublin/,aggelosmouzakitis.com,en,geo-service,200 (assumed live),Greek-Speaking Therapist in Dublin | Aggelos Mouzakitis,https://aggelosmouzakitis.com/greek-speaking-therapist-dublin/,https://aggelosmouzakitis.com/greek-speaking-therapist-dublin/,KEEP_COM,,,Med,EN-language page targeting Greek-speaking diaspora in Dublin. Do NOT move to /el/ (page is English). Keep en-only; no hreflang alt.
https://aggelosmouzakitis.com/greek-speaking-therapist-london/,aggelosmouzakitis.com,en,geo-service,200 (assumed live),Greek-Speaking Therapist in London | Aggelos Mouzakitis,https://aggelosmouzakitis.com/greek-speaking-therapist-london/,https://aggelosmouzakitis.com/greek-speaking-therapist-london/,KEEP_COM,,,Med,EN-language page targeting Greek-speaking diaspora in London. Do NOT move to /el/. Keep en-only; no hreflang alt.
https://aggelosmouzakitis.com/greek-speaking-therapist-manchester/,aggelosmouzakitis.com,en,geo-service,200 (assumed live),Greek-Speaking Therapist in Manchester | Aggelos Mouzakitis,https://aggelosmouzakitis.com/greek-speaking-therapist-manchester/,https://aggelosmouzakitis.com/greek-speaking-therapist-manchester/,KEEP_COM,,,Med,EN-language page targeting Greek-speaking diaspora in Manchester. Do NOT move to /el/. Keep en-only; no hreflang alt.
https://aggelosmouzakitis.com/greek-speaking-therapist-new-york/,aggelosmouzakitis.com,en,geo-service,200 (assumed live),Greek-Speaking Therapist in New York | Aggelos Mouzakitis,https://aggelosmouzakitis.com/greek-speaking-therapist-new-york/,https://aggelosmouzakitis.com/greek-speaking-therapist-new-york/,KEEP_COM,,,Med,EN-language page targeting Greek-speaking diaspora in New York. Do NOT move to /el/. Keep en-only; no hreflang alt.
https://aggelosmouzakitis.com/how-i-work/,aggelosmouzakitis.com,en,method,200 (assumed live),How I Work | Aggelos Mouzakitis,https://aggelosmouzakitis.com/how-i-work/,https://aggelosmouzakitis.com/how-i-work/,KEEP_COM,https://aggelosmouzakitis.com/el/how-i-work/,,Low,Genuine language equivalent of GR /how-i-work/. Same slug -> /el/ prefix. Add reciprocal hreflang.
https://aggelosmouzakitis.com/imposter-syndrome-therapy/,aggelosmouzakitis.com,en,service-page,200 (assumed live),Imposter Syndrome Therapy for Executives | Aggelos Mouzakitis,https://aggelosmouzakitis.com/imposter-syndrome-therapy/,https://aggelosmouzakitis.com/imposter-syndrome-therapy/,KEEP_COM,https://aggelosmouzakitis.com/el/imposter-syndrome/,,Low,"Genuine equivalent of GR /imposter-syndrome/ (same topic/intent). Slugs differ (therapy vs plain) -> map via hreflang, no redirect."
https://aggelosmouzakitis.com/reviews/,aggelosmouzakitis.com,en,social-proof,200 (assumed live),Client Reviews & Reflections | Aggelos Mouzakitis,https://aggelosmouzakitis.com/reviews/,https://aggelosmouzakitis.com/reviews/,KEEP_COM,,,Low,English testimonials page. No Greek equivalent; keep en-only.
https://aggelosmouzakitis.com/schedule,aggelosmouzakitis.com,en,legacy-redirect,301,(retired),,https://aggelosmouzakitis.com/,KEEP_COM,,https://aggelosmouzakitis.com/,Low,Existing 301 in netlify.toml (/schedule -> /). Retired page. Keep redirect.
https://aggelosmouzakitis.com/solopreneurs/,aggelosmouzakitis.com,en,advisory,200 (assumed live),Solopreneur Advisory for Business Problems That Trace Back to You | Aggelos Mouzakitis,https://aggelosmouzakitis.com/solopreneurs/,https://aggelosmouzakitis.com/solopreneurs/,KEEP_COM,,,Low,English solopreneur-advisory offer. No Greek equivalent; keep en-only.
https://aggelosmouzakitis.com/therapy-for-executives/,aggelosmouzakitis.com,en,service-page,200 (assumed live),Therapy for Executives | Aggelos Mouzakitis,https://aggelosmouzakitis.com/therapy-for-executives/,https://aggelosmouzakitis.com/therapy-for-executives/,KEEP_COM,https://aggelosmouzakitis.com/el/executive-coaching/,,High,AMBIGUOUS pairing: GR /executive-coaching/ could map here OR to /executive-burnout-therapy/. Coaching(el) vs therapy(en) intent differs. REQUIRES_MANUAL_DECISION for hreflang.
https://aggelosmouzakitis.com/therapy-for-founders/,aggelosmouzakitis.com,en,service-page,200 (assumed live),Therapy for Founders | Aggelos Mouzakitis,https://aggelosmouzakitis.com/therapy-for-founders/,https://aggelosmouzakitis.com/therapy-for-founders/,KEEP_COM,,,Med,English founder-therapy page. GR has no founder-therapy equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.gr/,aggelosmouzakitis.gr,el,homepage,200 (assumed live),Σύμβουλος Ψυχικής Υγείας για Στελέχη & Founders,https://aggelosmouzakitis.gr/,https://aggelosmouzakitis.com/el/,MOVE_GR_TO_COM_EL,https://aggelosmouzakitis.com/,https://aggelosmouzakitis.com/el/,High,Greek home -> /el/. 301 .gr/ -> .com/el/. Update canonical/OG/BASE_URL to .com. Pair hreflang with EN home. GitHub Pages cannot 301 -> move .gr to redirect-capable host.
https://aggelosmouzakitis.gr/404.html,aggelosmouzakitis.gr,el,error-404,404,Η σελίδα δεν βρέθηκε (404) | Aggelos Mouzakitis,https://aggelosmouzakitis.gr/,RETIRE,RETIRE,,,Med,"DEFECT: currently robots=index,follow + canonical->homepage (soft-404 risk). Replaced by consolidated .com 404. Set noindex if kept as /el/404."
https://aggelosmouzakitis.gr/about/,aggelosmouzakitis.gr,el,about,200 (assumed live),Άγγελος Μουζακίτης | Σύμβουλος Ψυχικής Υγείας,https://aggelosmouzakitis.gr/about/,https://aggelosmouzakitis.com/el/about/,MOVE_GR_TO_COM_EL,https://aggelosmouzakitis.com/about/,https://aggelosmouzakitis.com/el/about/,Low,301 .gr/about/ -> .com/el/about/. Genuine equivalent of EN /about/. Add reciprocal hreflang. ProfilePage schema.
https://aggelosmouzakitis.gr/burnout-diagnostic/,aggelosmouzakitis.gr,el,tool-diagnostic,200 (assumed live),Burnout Τεστ | Δωρεάν Εργαλείο Αυτοαξιολόγησης,https://aggelosmouzakitis.gr/burnout-diagnostic/,https://aggelosmouzakitis.com/el/burnout-diagnostic/,MOVE_GR_TO_COM_EL,https://aggelosmouzakitis.com/burnout-diagnostic/,https://aggelosmouzakitis.com/el/burnout-diagnostic/,Med,301 -> .com/el/burnout-diagnostic/. SAME SLUG as EN tool -> /el/ prefix resolves. Genuine equivalent. Client-rendered JS app (H1/content injected at runtime) - thin crawlable HTML.
https://aggelosmouzakitis.gr/burnout/,aggelosmouzakitis.gr,el,topic-page,200 (assumed live),"Burnout: Συμπτώματα, Αιτίες & Αντιμετώπιση",https://aggelosmouzakitis.gr/burnout/,https://aggelosmouzakitis.com/el/burnout/,MOVE_GR_TO_COM_EL,https://aggelosmouzakitis.com/executive-burnout-therapy/,https://aggelosmouzakitis.com/el/burnout/,Med,301 .gr/burnout/ -> .com/el/burnout/ (preserve slug per SEO rules). Main organic page. EN equivalent is a service page (partial intent match) - confirm hreflang (MANUAL). Has FAQPage/Service schema.
https://aggelosmouzakitis.gr/career-coaching/,aggelosmouzakitis.gr,el,service-page,200 (assumed live),Career Coaching & Αλλαγή Καριέρας | Άγγελος Μουζακίτης,https://aggelosmouzakitis.gr/career-coaching/,https://aggelosmouzakitis.com/el/career-coaching/,MOVE_GR_TO_COM_EL,https://aggelosmouzakitis.com/career-transition-therapy/,https://aggelosmouzakitis.com/el/career-coaching/,Med,301 -> .com/el/career-coaching/ (preserve Greek slug). Partial equivalent of EN career-transition-therapy (coaching vs therapy). Confirm hreflang. FAQPage/Service schema.
https://aggelosmouzakitis.gr/confidentiality/,aggelosmouzakitis.gr,el,trust-legal,200 (assumed live),Εμπιστευτικότητα Συνεδριών | Άγγελος Μουζακίτης,https://aggelosmouzakitis.gr/confidentiality/,https://aggelosmouzakitis.com/el/confidentiality/,MOVE_GR_TO_COM_EL,https://aggelosmouzakitis.com/confidentiality/,https://aggelosmouzakitis.com/el/confidentiality/,Low,301 -> .com/el/confidentiality/. Same slug as EN -> /el/ prefix resolves collision. Genuine equivalent. Add reciprocal hreflang.
https://aggelosmouzakitis.gr/executive-coaching/,aggelosmouzakitis.gr,el,service-page,200 (assumed live),Executive Coaching για Στελέχη | Άγγελος Μουζακίτης,https://aggelosmouzakitis.gr/executive-coaching/,https://aggelosmouzakitis.com/el/executive-coaching/,MOVE_GR_TO_COM_EL,https://aggelosmouzakitis.com/therapy-for-executives/,https://aggelosmouzakitis.com/el/executive-coaching/,High,301 -> .com/el/executive-coaching/ (preserve Greek slug). REQUIRES_MANUAL_DECISION on EN pair: therapy-for-executives OR executive-burnout-therapy. Coaching(el) vs therapy(en) intent. FAQPage/Service schema.
https://aggelosmouzakitis.gr/how-i-work/,aggelosmouzakitis.gr,el,method,200 (assumed live),Πώς Δουλεύω | Coaching με Ψυχολογικό Βάθος,https://aggelosmouzakitis.gr/how-i-work/,https://aggelosmouzakitis.com/el/how-i-work/,MOVE_GR_TO_COM_EL,https://aggelosmouzakitis.com/how-i-work/,https://aggelosmouzakitis.com/el/how-i-work/,Low,301 -> .com/el/how-i-work/. Same slug as EN -> /el/ prefix. Genuine equivalent. Add reciprocal hreflang.
https://aggelosmouzakitis.gr/imposter-syndrome/,aggelosmouzakitis.gr,el,service-page,200 (assumed live),Imposter Syndrome | Σύνδρομο του Απατεώνα,https://aggelosmouzakitis.gr/imposter-syndrome/,https://aggelosmouzakitis.com/el/imposter-syndrome/,MOVE_GR_TO_COM_EL,https://aggelosmouzakitis.com/imposter-syndrome-therapy/,https://aggelosmouzakitis.com/el/imposter-syndrome/,Low,301 -> .com/el/imposter-syndrome/ (preserve Greek slug; do NOT rename to match EN). Genuine equivalent of EN imposter-syndrome-therapy. Add reciprocal hreflang. FAQPage/Service schema.
